Pinyin,Chinese,English
zai4,再,again; once more; re-; second; another; then (after sth. and not until then)
yang2 rou4,羊肉,mutton; goat meat
zi4 xing2 che1,自行车,bicycle; bike
jiao4 shi4,教室,classroom
xiao4,笑,laugh; smile
tiao4 wu3,跳舞,to dance
ke3 yi3,可以,can; may; possible; able to; not bad; pretty good
gao1,高,high; tall; above average; loud; your (honorific)
yi4 si5,意思,idea; opinion; meaning; wish; desire; interest; fun; token of appreciation/affection/etc.; to give as a small token; to do sth. as a gesture of goodwill/etc.
xi1 gua1,西瓜,watermelon
yan3 jing5,眼睛,eye
bie2,别,do not; must not; to leave; to depart; to separate; to distinguish; to classify; other; another; to pin; to stick (sth.) in
kuai4,快,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plainspoken; gratified; pleased; pleasant
zhun3 bei4,准备,to prepare; preparation; to intend; to be about to; reserve (fund)
di4 yi1,第一,first; number one; primary
de5,得,structural particle used after a verb (or adjective as main verb) linking it to following phrase indicating effect/degree/possibility/etc.
xi1 wang4,希望,to wish for; to desire; hope
xiu1 xi5,休息,rest; to rest
dui4,对,right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb. a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier for couples
qian1,千,thousand
xing4,姓,family name; surname; to be surnamed
jiu4,就,at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning
xin1,新,new; newly; meso- (chemistry)
suo3 yi3,所以,therefore; as a result; so; the reason why
you2 yong3,游泳,swimming; to swim
gui4,贵,expensive; noble; your (name); precious
xue3,雪,snow; snowfall; to have the appearance of snow; to wipe away/off/out; to clean
yao1,要,to demand; to request; to coerce
jue2 de5,觉得,to think; to feel
xiang4,向,towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along
sheng1 ri4,生日,birthday
hai2 zi5,孩子,child
xi3,洗,to wash; to bathe; to develop (photo)
mei4 mei5,妹妹,younger sister; young woman
zhao3,找,to look for; to try to find; to call on sb; to find; to seek; to return; to give change
lv3 you2,旅游,trip; journey; tourism; travel; tour
yun4 dong4,运动,to move; to exercise; sports; exercise; motion; movement; campaign
yuan2,元,currency unit; first; original; primary; fundamental; constituent; part; era (of a reign); (math.) argument; variable; eon
da3 lan2 qiu2,打篮球,to play basketball
ta1,它,item; component; classifier for events/things/clothes/etc.
wei4 shen2 me5,为什么,why?; for what reason?
da4 jia1,大家,everyone; influential family; great expert
wan2,玩,to play; to have fun; to trifle with; toy; sth. used for amusement; curio or antique; to keep sth. for entertainment
jie4 shao4,介绍,to introduce (sb. to sb.); to give a presentation; to present (sb. for a job/etc.); introduction
zhi1 dao5,知道,to know; to become aware of
hao4,号,ordinal number; day of a month; mark; sign; business establishment; size; ship suffix; horn (wind instrument); bugle call; assumed name; to take a pulse; classifier used to indicate number of people
hai2,还,still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else
pu3 tong1 hua4,普通话,Mandarin (common language); Putonghua (common speech of the Chinese language); ordinary speech
wei4,位,position; location; place; seat; classifier for people (honorific); classifier for binary bits
liao3 jie3,了解,to understand; to realize; to find out
yi3 wei2,以为,to believe; to think; to consider; to be under the impression
jie3 jue2,解决,to settle (a dispute); to resolve; to solve; to dispose of; to dispatch
yong4,用,to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore
wei4,为,because of; for; to
xin1 wen2,新闻,news
huan2,还,to pay back; to return
duo1 me5,多么,how (wonderful/etc.); what (a great idea/etc.); however (difficult it may be/etc.); (in interrogative sentences) how (much/etc.); to what extent
xu1 yao4,需要,to need; to want; to demand; to inquire; requirement; need
duan4 lian4,锻炼,to engage in physical exercise; to work out; to toughen; to temper
jing1 li3,经理,manager; director
wan2 cheng2,完成,to complete; to accomplish
kou3,口,mouth; classifier for things with mouths (people/domestic animals/cannons/wells/etc.); classifier for bites or mouthfuls
xuan3 ze2,选择,to select; to pick; choice; option; alternative
pa2 shan1,爬山,to climb a mountain; to mountaineer; hiking; mountaineering
cai4 dan1,菜单,menu
zong3 shi4,总是,always
zhong4 yao4,重要,important; significant; major
hei1 ban3,黑板,blackboard
zuo4 yong4,作用,purpose; intent; to play a role; (-ity/-ism/-ization); to act on; to affect; action; function; activity; impact; result; effect
huan4,换,to exchange; to change (clothes/etc.); to substitute; to switch; to convert (currency)
gong1 yuan2,公园,park (for public recreation)
